26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

  77    13,4     8,4     2,8     0,0     1,6     6,6    12,1    14,9
  78    13,3     8,2     2,7     0,0     1,6     6,8    12,2    14,9
  79    13,2     8,1     2,6     0,0     1,8     6,9    12,4    14,9
  80    13,1     7,9     2,5     0,0     1,9     7,1    12,5    14,9
  81    13,0     7,8     2,4     0,0     2,0     7,2    12,6    14,9
  82    12,9     7,6     2,3     0,0     2,1     7,4    12,7    14,9
  83    12,8     7,5     2,2     0,0     2,2     7,5    12,8    14,9
  84    12,6     7,3     2,1     0,0     2,2     7,6    12,9    14,9
  85    12,6     7,2     1,9     0,0     2,4     7,8    13,1    14,9
  86    12,5     7,0     1,9     0,0     2,5     8,0    13,2    14,9
  87    12,4     6,9     1,8     0,0     2,6     8,1    13,2    14,9
  88    12,2     6,7     1,6     0,0     2,7     8,2    13,3    14,9
  89    12,1     6,6     1,6     0,0     2,8     8,4    13,4    14,9
  90    12,0     6,4     1,5     0,0     2,9     8,6    13,5    14,9
  91    11,9     6,3     1,4     0,0     3,1     8,7    13,5    14,9
  92    11,8     6,1     1,3     0,1     3,2     8,8    13,6    14,8
  93    11,6     6,0     1,2     0,1     3,3     8,9    13,8    14,8
  94    11,5     5,8     1,2     0,1     3,4     9,2    13,9    14,8
  95    11,4     5,7     1,1     0,1     3,5     9,3    13,9    14,8
  96    11,2     5,6     1,0     0,2     3,6     9,4    14,0    14,7
  97    11,1     5,4     0,9     0,2     3,9     9,5    14,0    14,7
  98    11,0     5,3     0,8     0,2     4,0     9,6    14,1    14,7
  99    10,9     5,1     0,8     0,4     4,1     9,9    14,2    14,6
 100    10,8     5,0     0,7     0,4     4,2    10,0    14,2    14,6
 101    10,6     4,9     0,6     0,5     4,4    10,1    14,4    14,5
 102    10,5     4,7     0,6     0,5     4,5    10,2    14,4    14,5
 103    10,4     4,6     0,5     0,6     4,6    10,4    14,5    14,5
 104    10,2     4,5     0,5     0,6     4,8    10,5    14,5    14,4
 105    10,1     4,3     0,4     0,7     4,9    10,7    14,6    14,4
 106     9,9     4,2     0,4     0,7     5,1    10,8    14,6    14,2
 107     9,8     4,1     0,4     0,8     5,2    10,9    14,6    14,1
 108     9,6     3,9     0,3     0,8     5,3    11,1    14,7    14,1
 109     9,5     3,8     0,2     0,9     5,4    11,2    14,7    14,0
 110     9,4     3,6     0,2     1,1     5,6    11,3    14,8    14,0
 111     9,2     3,5     0,2     1,1     5,8    11,4    14,8    13,9
 112     9,1     3,4     0,1     1,2     5,9    11,5    14,8    13,8
 113     8,9     3,3     0,1     1,3     6,0    11,6    14,8    13,8
 114     8,8     3,2     0,1     1,3     6,2    11,8    14,9    13,6
 115     8,6     3,1     0,1     1,4     6,4    11,9    14,9    13,5
 116     8,5     2,9     0,1     1,5     6,5    12,0    14,9    13,4
 117     8,4     2,8     0,0     1,6     6,6    12,1    14,9    13,4
 118     8,2     2,7     0,0     1,6     6,8    12,2    14,9    13,3
 119     8,1     2,6     0,0     1,8     6,9    12,4    14,9    13,2
 120     7,9     2,5     0,0     1,9     7,1    12,5    14,9    13,1
 121     7,8     2,4     0,0     2,0     7,2    12,6    14,9    12,9
 122     7,6     2,2     0,0     2,1     7,4    12,7    14,9    12,8
 123     7,5     2,2     0,0     2,2     7,5    12,8    15,1    12,8
 124     7,3     2,1     0,0     2,2     7,6    12,9    14,9    12,7
 125     7,2     1,9     0,0     2,4     7,8    13,1    14,9    12,6
 126     7,0     1,8     0,0     2,5     8,0    13,2    14,9    12,5
 127     6,9     1,8     0,0     2,6     8,1    13,2    14,9    12,4
 128     6,7     1,6     0,0     2,7     8,2    13,3    14,9    12,2
 129     6,6     1,6     0,1     2,8     8,4    13,4    14,9    12,1
 130     6,4     1,5     0,1     2,9     8,6    13,5    14,9    12,0
 131     6,3     1,4     0,1     3,1     8,7    13,5    14,9    11,9
 132     6,1     1,3     0,1     3,2     8,8    13,6    14,8    11,8
 133     6,0     1,2     0,1     3,3     8,9    13,8    14,8    11,6
 134     5,8     1,1     0,2     3,4     9,2    13,9    14,8    11,5
 135     5,7     1,1     0,2     3,5     9,3    13,9    14,8    11,4
 136     5,5     1,0     0,2     3,8     9,4    14,0    14,7    11,3
 137     5,4     0,9     0,3     3,9     9,5    14,1    14,7    11,2
 138     5,3     0,8     0,3     4,0     9,6    14,1    14,7    10,9
 139     5,1     0,8     0,4     4,1     9,9    14,2    14,6    10,8
 140     5,0     0,7     0,4     4,2    10,0    14,2    14,6    10,7
 141     4,9     0,6     0,5     4,4    10,1    14,4    14,5    10,6
 142     4,7     0,6     0,5     4,5    10,2    14,4    14,5    10,5
 143     4,6     0,5     0,6     4,6    10,4    14,5    14,5    10,4
 144     4,5     0,5     0,6     4,8    10,6    14,5    14,4    10,2
 145     4,3     0,4     0,7     4,9    10,7    14,6    14,2    10,0
 146     4,2     0,4     0,8     5,1    10,8    14,6    14,2     9,9
